id,bdate,city,country,sex,is_closed,age,priority,marker
143784100,1973-05-04,20950,1,1,0,49,6.0,1.0
143786212,1994-06-19,20950,1,1,1,28,8.0,1.0
143916941,1978-02-28,223,2,1,0,44,6.0,1.0
143992400,2001-03-28,2,1,2,0,21,5.0,1.0
144008300,1993-03-20,1,1,1,0,29,5.0,1.0
144029617,1995-01-18,49,1,1,0,27,5.0,1.0
144038816,1998-01-09,20950,1,2,1,24,8.0,1.0
144102126,1965-09-27,20950,1,2,0,57,6.0,1.0
144147495,1970-12-04,5048,1,1,1,52,8.0,1.0
144177502,2000-05-21,147,1,2,0,22,5.0,1.0
144182730,1987-03-13,20950,1,1,0,35,6.0,1.0
144203473,1958-10-19,20950,1,1,0,64,7.0,1.0
144208087,1998-08-25,20950,1,2,0,24,5.0,1.0
144224671,1988-12-28,20950,1,2,0,34,6.0,1.0
144241557,1991-09-20,20950,1,1,1,31,8.0,1.0
144266431,1999-10-06,283,1,2,0,23,5.0,1.0
144273604,1986-01-18,20950,1,2,0,36,6.0,1.0
144282763,1986-07-13,97,1,1,1,36,8.0,1.0
144289783,1973-07-11,1,1,1,0,49,6.0,1.0
144339919,1998-03-17,20950,1,2,0,24,5.0,1.0
144346104,1992-06-07,1100,1,2,1,30,8.0,1.0
144383030,1992-07-13,1489,1,2,0,30,5.0,1.0
144401969,2000-05-01,20950,1,1,1,22,8.0,1.0
144404479,1989-01-14,977,1,1,0,33,6.0,1.0
144416790,1983-12-29,20950,1,2,1,39,8.0,1.0
144425485,1986-04-16,29,1,2,1,36,8.0,1.0
144439979,1995-09-12,20950,1,2,0,27,5.0,1.0
144449323,1980-09-28,16368,1,1,0,42,6.0,1.0
144464286,1992-06-17,20950,1,1,1,30,8.0,1.0
144472422,1988-10-17,20950,1,2,0,34,6.0,1.0
144491581,1986-12-29,20950,1,2,0,36,6.0,1.0
144511660,1992-11-16,936,4,1,0,30,5.0,1.0
144516790,1981-08-28,2,1,2,1,41,8.0,1.0
144554083,1985-06-02,403,1,2,1,37,8.0,1.0
144584299,1991-07-06,3249,1,1,0,31,6.0,1.0
144592745,1998-10-05,20950,1,2,0,24,5.0,1.0
144599932,1995-06-20,20950,1,2,0,27,5.0,1.0
144617582,2002-01-10,20950,1,1,0,20,5.0,1.0
144622451,1989-07-01,20950,1,1,0,33,6.0,1.0
144623867,1999-09-14,20950,1,2,1,23,8.0,1.0
144637931,1981-11-12,20950,1,2,0,41,6.0,1.0
144647502,1968-12-27,20950,1,1,0,54,6.0,1.0
144672284,1990-01-28,20950,1,1,0,32,6.0,1.0
144683701,1987-04-14,74,1,2,0,35,6.0,1.0
144695844,1990-07-18,20950,1,1,0,32,6.0,1.0
144768038,1988-03-21,182,1,2,1,34,8.0,1.0
144791390,1994-06-03,20950,1,2,0,28,5.0,1.0
144792866,1995-08-08,1966,1,1,0,27,5.0,1.0
144831826,1987-11-15,20950,1,2,0,35,6.0,1.0
144844737,1996-08-16,859,1,1,1,26,8.0,1.0
144886699,2005-04-24,143,1,2,1,17,8.0,1.0
144886834,1977-03-23,20950,1,1,0,45,6.0,1.0
